businessunit	facility	latitude	longitude	timezone	_machinecount	_atmcount	_servercount	_workstationcount	_ip_min	_ip_max	_ip_min_atms	_ip_max_atms	_ip_min_servers	_ip_max_servers	_ip_min_workstations	_ip_max_workstations
region-8	branch57	-5.9929643	-117.53689	-7	96	9	38	49	172.26.28.2	172.26.30.10	172.26.30.2	172.26.30.10	172.26.28.2	172.26.28.39	172.26.29.2	172.26.29.50
region-8	branch58	-5.947168	-126.562195	-8	100	10	41	49	172.26.31.2	172.26.33.11	172.26.33.2	172.26.33.11	172.26.31.2	172.26.31.42	172.26.32.2	172.26.32.50
region-8	branch59	-10.210328	-124.53757	-8	100	10	40	50	172.26.34.2	172.26.36.11	172.26.36.2	172.26.36.11	172.26.34.2	172.26.34.41	172.26.35.2	172.26.35.51
region-8	branch60	-13.492726	-116.55867	-7	98	10	40	48	172.26.37.2	172.26.39.11	172.26.39.2	172.26.39.11	172.26.37.2	172.26.37.41	172.26.38.2	172.26.38.49
region-8	branch61	0.6351784	-118.44564	-7	102	10	41	51	172.26.40.2	172.26.42.11	172.26.42.2	172.26.42.11	172.26.40.2	172.26.40.42	172.26.41.2	172.26.41.52
region-8	branch62	-4.459871	-124.90535	-8	95	9	38	48	172.26.43.2	172.26.45.10	172.26.45.2	172.26.45.10	172.26.43.2	172.26.43.39	172.26.44.2	172.26.44.49
region-8	branch63	-14.380599	-118.897156	-7	96	9	39	48	172.26.46.2	172.26.48.10	172.26.48.2	172.26.48.10	172.26.46.2	172.26.46.40	172.26.47.2	172.26.47.49
region-8	branch64	-0.92452174	-119.088524	-7	100	9	41	50	172.26.49.2	172.26.51.10	172.26.51.2	172.26.51.10	172.26.49.2	172.26.49.42	172.26.50.2	172.26.50.51
region-8	branch65	-7.2206907	-117.60629	-7	102	10	41	51	172.26.52.2	172.26.54.11	172.26.54.2	172.26.54.11	172.26.52.2	172.26.52.42	172.26.53.2	172.26.53.52
region-8	branch66	-4.218306	-118.42643	-7	102	10	41	51	172.26.55.2	172.26.57.11	172.26.57.2	172.26.57.11	172.26.55.2	172.26.55.42	172.26.56.2	172.26.56.52
region-8	branch67	-1.9487313	-125.23689	-8	97	10	38	49	172.26.58.2	172.26.60.11	172.26.60.2	172.26.60.11	172.26.58.2	172.26.58.39	172.26.59.2	172.26.59.50
region-8	branch68	-2.6732626	-123.550766	-8	101	9	41	51	172.26.61.2	172.26.63.10	172.26.63.2	172.26.63.10	172.26.61.2	172.26.61.42	172.26.62.2	172.26.62.52
region-8	branch69	0.3100808	-116.901184	-7	98	10	39	49	172.26.64.2	172.26.66.11	172.26.66.2	172.26.66.11	172.26.64.2	172.26.64.40	172.26.65.2	172.26.65.50
region-8	branch70	-7.0078707	-126.33822	-8	100	10	40	50	172.26.67.2	172.26.69.11	172.26.69.2	172.26.69.11	172.26.67.2	172.26.67.41	172.26.68.2	172.26.68.51
region-8	branch71	-5.8543453	-127.95576	-8	99	9	39	51	172.26.70.2	172.26.72.10	172.26.72.2	172.26.72.10	172.26.70.2	172.26.70.40	172.26.71.2	172.26.71.52
region-8	branch72	-14.674305	-126.15143	-8	100	9	41	50	172.26.73.2	172.26.75.10	172.26.75.2	172.26.75.10	172.26.73.2	172.26.73.42	172.26.74.2	172.26.74.51
region-8	branch73	-12.952888	-126.67487	-8	96	9	39	48	172.26.76.2	172.26.78.10	172.26.78.2	172.26.78.10	172.26.76.2	172.26.76.40	172.26.77.2	172.26.77.49
region-8	branch74	-8.284771	-122.72159	-8	99	10	39	50	172.26.79.2	172.26.81.11	172.26.81.2	172.26.81.11	172.26.79.2	172.26.79.40	172.26.80.2	172.26.80.51
region-8	branch75	-6.6526155	-121.41666	-8	100	9	41	50	172.26.82.2	172.26.84.10	172.26.84.2	172.26.84.10	172.26.82.2	172.26.82.42	172.26.83.2	172.26.83.51
region-8	branch76	-2.3851388	-122.602554	-8	99	9	39	51	172.26.85.2	172.26.87.10	172.26.87.2	172.26.87.10	172.26.85.2	172.26.85.40	172.26.86.2	172.26.86.52
region-8	branch77	-4.741255	-127.05745	-8	96	9	39	48	172.26.88.2	172.26.90.10	172.26.90.2	172.26.90.10	172.26.88.2	172.26.88.40	172.26.89.2	172.26.89.49
region-8	branch78	-5.914197	-116.848785	-7	98	10	39	49	172.26.91.2	172.26.93.11	172.26.93.2	172.26.93.11	172.26.91.2	172.26.91.40	172.26.92.2	172.26.92.50
region-8	branch79	-4.1756816	-118.75523	-7	99	10	41	48	172.26.94.2	172.26.96.11	172.26.96.2	172.26.96.11	172.26.94.2	172.26.94.42	172.26.95.2	172.26.95.49
region-8	branch80	-1.7080529	-122.41739	-8	98	9	40	49	172.26.97.2	172.26.99.10	172.26.99.2	172.26.99.10	172.26.97.2	172.26.97.41	172.26.98.2	172.26.98.50
region-8	branch81	-9.392297	-116.51272	-7	98	10	38	50	172.26.100.2	172.26.102.11	172.26.102.2	172.26.102.11	172.26.100.2	172.26.100.39	172.26.101.2	172.26.101.51
region-8	branch82	-12.005057	-116.76689	-7	98	9	41	48	172.26.103.2	172.26.105.10	172.26.105.2	172.26.105.10	172.26.103.2	172.26.103.42	172.26.104.2	172.26.104.49
region-8	branch83	-9.144104	-119.546295	-7	99	10	40	49	172.26.106.2	172.26.108.11	172.26.108.2	172.26.108.11	172.26.106.2	172.26.106.41	172.26.107.2	172.26.107.50
region-8	branch84	-10.723102	-126.22336	-8	101	10	41	50	172.26.109.2	172.26.111.11	172.26.111.2	172.26.111.11	172.26.109.2	172.26.109.42	172.26.110.2	172.26.110.51
region-8	branch85	-3.5100222	-125.12681	-8	100	9	41	50	172.26.112.2	172.26.114.10	172.26.114.2	172.26.114.10	172.26.112.2	172.26.112.42	172.26.113.2	172.26.113.51
region-8	branch86	-7.8411946	-125.90676	-8	99	9	39	51	172.26.115.2	172.26.117.10	172.26.117.2	172.26.117.10	172.26.115.2	172.26.115.40	172.26.116.2	172.26.116.52
region-8	branch87	-10.009007	-122.34356	-8	98	9	38	51	172.26.118.2	172.26.120.10	172.26.120.2	172.26.120.10	172.26.118.2	172.26.118.39	172.26.119.2	172.26.119.52
region-8	branch88	-3.8927498	-124.3585	-8	97	9	40	48	172.26.121.2	172.26.123.10	172.26.123.2	172.26.123.10	172.26.121.2	172.26.121.41	172.26.122.2	172.26.122.49
region-8	branch89	-6.4906693	-127.15293	-8	98	10	39	49	172.26.124.2	172.26.126.11	172.26.126.2	172.26.126.11	172.26.124.2	172.26.124.40	172.26.125.2	172.26.125.50
region-8	branch90	-2.3540924	-127.48334	-8	99	10	40	49	172.26.127.2	172.26.129.11	172.26.129.2	172.26.129.11	172.26.127.2	172.26.127.41	172.26.128.2	172.26.128.50
region-8	branch91	-13.775974	-121.10829	-8	97	9	38	50	172.26.130.2	172.26.132.10	172.26.132.2	172.26.132.10	172.26.130.2	172.26.130.39	172.26.131.2	172.26.131.51
region-8	branch92	-9.542315	-124.01698	-8	97	9	39	49	172.26.133.2	172.26.135.10	172.26.135.2	172.26.135.10	172.26.133.2	172.26.133.40	172.26.134.2	172.26.134.50
region-8	branch93	-9.829084	-120.32786	-8	98	9	39	50	172.26.136.2	172.26.138.10	172.26.138.2	172.26.138.10	172.26.136.2	172.26.136.40	172.26.137.2	172.26.137.51
region-8	branch94	-13.695599	-116.45281	-7	98	9	40	49	172.26.139.2	172.26.141.10	172.26.141.2	172.26.141.10	172.26.139.2	172.26.139.41	172.26.140.2	172.26.140.50
region-8	branch95	-0.38562214	-117.542534	-7	97	9	38	50	172.26.142.2	172.26.144.10	172.26.144.2	172.26.144.10	172.26.142.2	172.26.142.39	172.26.143.2	172.26.143.51
region-8	branch96	-14.166577	-125.209335	-8	100	10	39	51	172.26.145.2	172.26.147.11	172.26.147.2	172.26.147.11	172.26.145.2	172.26.145.40	172.26.146.2	172.26.146.52
region-8	branch97	-11.516286	-120.47573	-8	100	10	41	49	172.26.148.2	172.26.150.11	172.26.150.2	172.26.150.11	172.26.148.2	172.26.148.42	172.26.149.2	172.26.149.50
region-8	branch98	0.8807073	-127.79226	-8	95	9	38	48	172.26.151.2	172.26.153.10	172.26.153.2	172.26.153.10	172.26.151.2	172.26.151.39	172.26.152.2	172.26.152.49
region-8	branch99	-9.921805	-118.34243	-7	99	9	40	50	172.26.154.2	172.26.156.10	172.26.156.2	172.26.156.10	172.26.154.2	172.26.154.41	172.26.155.2	172.26.155.51
region-8	branch100	-10.247392	-118.80294	-7	98	9	40	49	172.26.157.2	172.26.159.10	172.26.159.2	172.26.159.10	172.26.157.2	172.26.157.41	172.26.158.2	172.26.158.50
region-8	branch101	-13.470198	-116.91486	-7	96	10	38	48	172.26.160.2	172.26.162.11	172.26.162.2	172.26.162.11	172.26.160.2	172.26.160.39	172.26.161.2	172.26.161.49
region-8	branch102	-8.205486	-122.86747	-8	96	9	38	49	172.26.163.2	172.26.165.10	172.26.165.2	172.26.165.10	172.26.163.2	172.26.163.39	172.26.164.2	172.26.164.50
region-8	branch103	-1.6842605	-119.38739	-7	101	10	41	50	172.26.166.2	172.26.168.11	172.26.168.2	172.26.168.11	172.26.166.2	172.26.166.42	172.26.167.2	172.26.167.51
region-8	branch104	-7.6252418	-116.90853	-7	101	10	41	50	172.26.169.2	172.26.171.11	172.26.171.2	172.26.171.11	172.26.169.2	172.26.169.42	172.26.170.2	172.26.170.51
region-8	branch105	-10.740404	-127.183174	-8	98	9	40	49	172.26.172.2	172.26.174.10	172.26.174.2	172.26.174.10	172.26.172.2	172.26.172.41	172.26.173.2	172.26.173.50
region-8	branch106	-0.95793754	-120.654495	-8	98	9	38	51	172.26.175.2	172.26.177.10	172.26.177.2	172.26.177.10	172.26.175.2	172.26.175.39	172.26.176.2	172.26.176.52
region-8	branch107	0.31641534	-123.88067	-8	100	10	39	51	172.26.178.2	172.26.180.11	172.26.180.2	172.26.180.11	172.26.178.2	172.26.178.40	172.26.179.2	172.26.179.52
region-8	branch108	-12.512892	-126.87825	-8	101	10	40	51	172.26.181.2	172.26.183.11	172.26.183.2	172.26.183.11	172.26.181.2	172.26.181.41	172.26.182.2	172.26.182.52
region-8	branch109	-14.196998	-126.597786	-8	99	9	41	49	172.26.184.2	172.26.186.10	172.26.186.2	172.26.186.10	172.26.184.2	172.26.184.42	172.26.185.2	172.26.185.50
region-8	branch110	-12.9768915	-117.5806	-7	97	9	38	50	172.26.187.2	172.26.189.10	172.26.189.2	172.26.189.10	172.26.187.2	172.26.187.39	172.26.188.2	172.26.188.51
region-8	branch111	-13.145717	-118.45697	-7	98	10	38	50	172.26.190.2	172.26.192.11	172.26.192.2	172.26.192.11	172.26.190.2	172.26.190.39	172.26.191.2	172.26.191.51
region-8	branch112	-9.962418	-121.180885	-8	98	10	40	48	172.26.193.2	172.26.195.11	172.26.195.2	172.26.195.11	172.26.193.2	172.26.193.41	172.26.194.2	172.26.194.49
region-8	branch113	-14.790516	-117.164536	-7	96	10	38	48	172.26.196.2	172.26.198.11	172.26.198.2	172.26.198.11	172.26.196.2	172.26.196.39	172.26.197.2	172.26.197.49
region-8	branch114	-6.4900265	-116.7502	-7	97	9	39	49	172.26.199.2	172.26.201.10	172.26.201.2	172.26.201.10	172.26.199.2	172.26.199.40	172.26.200.2	172.26.200.50
region-8	branch115	-14.127678	-120.2727	-8	97	9	40	48	172.26.202.2	172.26.204.10	172.26.204.2	172.26.204.10	172.26.202.2	172.26.202.41	172.26.203.2	172.26.203.49
region-8	branch116	-11.525032	-124.419945	-8	99	10	38	51	172.26.205.2	172.26.207.11	172.26.207.2	172.26.207.11	172.26.205.2	172.26.205.39	172.26.206.2	172.26.206.52
region-8	branch117	-4.0923033	-117.352936	-7	98	9	40	49	172.26.208.2	172.26.210.10	172.26.210.2	172.26.210.10	172.26.208.2	172.26.208.41	172.26.209.2	172.26.209.50
region-8	branch118	-1.1805496	-116.3215	-7	99	9	41	49	172.26.211.2	172.26.213.10	172.26.213.2	172.26.213.10	172.26.211.2	172.26.211.42	172.26.212.2	172.26.212.50
region-8	branch119	-11.340638	-117.09456	-7	99	9	39	51	172.26.214.2	172.26.216.10	172.26.216.2	172.26.216.10	172.26.214.2	172.26.214.40	172.26.215.2	172.26.215.52
region-8	branch120	-1.7032526	-127.76018	-8	99	10	40	49	172.26.217.2	172.26.219.11	172.26.219.2	172.26.219.11	172.26.217.2	172.26.217.41	172.26.218.2	172.26.218.50
region-8	branch121	0.7173837	-127.25226	-8	100	10	39	51	172.26.220.2	172.26.222.11	172.26.222.2	172.26.222.11	172.26.220.2	172.26.220.40	172.26.221.2	172.26.221.52
region-8	branch122	-5.832671	-119.7993	-7	99	10	41	48	172.26.223.2	172.26.225.11	172.26.225.2	172.26.225.11	172.26.223.2	172.26.223.42	172.26.224.2	172.26.224.49
region-8	branch123	-0.52038753	-127.402016	-8	100	10	39	51	172.26.226.2	172.26.228.11	172.26.228.2	172.26.228.11	172.26.226.2	172.26.226.40	172.26.227.2	172.26.227.52
region-8	branch124	-14.181206	-126.028145	-8	97	10	38	49	172.26.229.2	172.26.231.11	172.26.231.2	172.26.231.11	172.26.229.2	172.26.229.39	172.26.230.2	172.26.230.50
region-8	branch125	-1.4122889	-120.62431	-8	96	9	38	49	172.26.232.2	172.26.234.10	172.26.234.2	172.26.234.10	172.26.232.2	172.26.232.39	172.26.233.2	172.26.233.50
region-8	branch126	-3.8067553	-120.009735	-8	97	9	40	48	172.26.235.2	172.26.237.10	172.26.237.2	172.26.237.10	172.26.235.2	172.26.235.41	172.26.236.2	172.26.236.49
region-8	branch127	-12.790895	-124.51933	-8	98	9	41	48	172.26.238.2	172.26.240.10	172.26.240.2	172.26.240.10	172.26.238.2	172.26.238.42	172.26.239.2	172.26.239.49
region-8	branch128	-3.6402483	-125.75254	-8	100	9	41	50	172.26.241.2	172.26.243.10	172.26.243.2	172.26.243.10	172.26.241.2	172.26.241.42	172.26.242.2	172.26.242.51
region-8	branch129	-5.7655826	-124.3686	-8	99	10	41	48	172.26.244.2	172.26.246.11	172.26.246.2	172.26.246.11	172.26.244.2	172.26.244.42	172.26.245.2	172.26.245.49
region-8	branch130	-14.758829	-125.52253	-8	99	9	40	50	172.26.247.2	172.26.249.10	172.26.249.2	172.26.249.10	172.26.247.2	172.26.247.41	172.26.248.2	172.26.248.51
region-8	branch131	-2.2444866	-117.79275	-7	98	10	39	49	172.26.250.2	172.26.252.11	172.26.252.2	172.26.252.11	172.26.250.2	172.26.250.40	172.26.251.2	172.26.251.50
region-8	branch132	-7.432031	-125.40977	-8	97	9	40	48	172.26.253.2	172.27.1.10	172.27.1.2	172.27.1.10	172.26.253.2	172.26.253.41	172.26.254.2	172.26.254.49
region-8	branch133	0.24750923	-118.91547	-7	100	9	40	51	172.27.2.2	172.27.4.10	172.27.4.2	172.27.4.10	172.27.2.2	172.27.2.41	172.27.3.2	172.27.3.52
region-8	branch134	-14.341838	-127.2864	-8	98	9	40	49	172.27.5.2	172.27.7.10	172.27.7.2	172.27.7.10	172.27.5.2	172.27.5.41	172.27.6.2	172.27.6.50
region-8	branch135	-9.902671	-116.82845	-7	100	9	41	50	172.27.8.2	172.27.10.10	172.27.10.2	172.27.10.10	172.27.8.2	172.27.8.42	172.27.9.2	172.27.9.51
region-8	branch136	0.8363956	-126.14052	-8	98	10	40	48	172.27.11.2	172.27.13.11	172.27.13.2	172.27.13.11	172.27.11.2	172.27.11.41	172.27.12.2	172.27.12.49
region-8	branch137	-10.042875	-126.06281	-8	96	9	39	48	172.27.14.2	172.27.16.10	172.27.16.2	172.27.16.10	172.27.14.2	172.27.14.40	172.27.15.2	172.27.15.49
region-8	branch140	-0.22916475	-120.20289	-8	102	10	41	51	172.27.23.2	172.27.25.11	172.27.25.2	172.27.25.11	172.27.23.2	172.27.23.42	172.27.24.2	172.27.24.52
region-8	branch141	-1.4187384	-127.77208	-8	98	10	38	50	172.27.26.2	172.27.28.11	172.27.28.2	172.27.28.11	172.27.26.2	172.27.26.39	172.27.27.2	172.27.27.51
region-8	branch142	-3.7194862	-127.68619	-8	100	9	41	50	172.27.29.2	172.27.31.10	172.27.31.2	172.27.31.10	172.27.29.2	172.27.29.42	172.27.30.2	172.27.30.51
region-8	branch143	-13.113201	-123.88973	-8	99	10	41	48	172.27.32.2	172.27.34.11	172.27.34.2	172.27.34.11	172.27.32.2	172.27.32.42	172.27.33.2	172.27.33.49
region-8	branch144	-4.4890175	-121.42771	-8	98	9	41	48	172.27.35.2	172.27.37.10	172.27.37.2	172.27.37.10	172.27.35.2	172.27.35.42	172.27.36.2	172.27.36.49
region-8	branch145	-13.925023	-116.43905	-7	101	10	40	51	172.27.38.2	172.27.40.11	172.27.40.2	172.27.40.11	172.27.38.2	172.27.38.41	172.27.39.2	172.27.39.52
region-8	branch146	-5.1841516	-117.129166	-7	99	9	41	49	172.27.41.2	172.27.43.10	172.27.43.2	172.27.43.10	172.27.41.2	172.27.41.42	172.27.42.2	172.27.42.50
region-8	branch147	-4.226782	-120.73289	-8	100	10	41	49	172.27.44.2	172.27.46.11	172.27.46.2	172.27.46.11	172.27.44.2	172.27.44.42	172.27.45.2	172.27.45.50
region-8	branch148	-0.884544	-118.94169	-7	100	9	40	51	172.27.47.2	172.27.49.10	172.27.49.2	172.27.49.10	172.27.47.2	172.27.47.41	172.27.48.2	172.27.48.52
region-8	branch149	-14.325232	-118.155136	-7	100	9	41	50	172.27.50.2	172.27.52.10	172.27.52.2	172.27.52.10	172.27.50.2	172.27.50.42	172.27.51.2	172.27.51.51
region-8	branch150	-6.753669	-117.45	-7	100	9	40	51	172.27.53.2	172.27.55.10	172.27.55.2	172.27.55.10	172.27.53.2	172.27.53.41	172.27.54.2	172.27.54.52
region-8	branch151	-14.053915	-125.12499	-8	99	9	39	51	172.27.56.2	172.27.58.10	172.27.58.2	172.27.58.10	172.27.56.2	172.27.56.40	172.27.57.2	172.27.57.52
region-8	branch152	-8.656279	-120.42402	-8	98	10	39	49	172.27.59.2	172.27.61.11	172.27.61.2	172.27.61.11	172.27.59.2	172.27.59.40	172.27.60.2	172.27.60.50
region-8	branch153	-0.96067846	-123.474815	-8	99	10	41	48	172.27.62.2	172.27.64.11	172.27.64.2	172.27.64.11	172.27.62.2	172.27.62.42	172.27.63.2	172.27.63.49
region-8	branch154	-13.076364	-116.07641	-7	101	9	41	51	172.27.65.2	172.27.67.10	172.27.67.2	172.27.67.10	172.27.65.2	172.27.65.42	172.27.66.2	172.27.66.52
region-8	branch155	-2.8299322	-117.76316	-7	100	10	41	49	172.27.68.2	172.27.70.11	172.27.70.2	172.27.70.11	172.27.68.2	172.27.68.42	172.27.69.2	172.27.69.50
region-8	branch156	-4.4111514	-124.16204	-8	95	9	38	48	172.27.71.2	172.27.73.10	172.27.73.2	172.27.73.10	172.27.71.2	172.27.71.39	172.27.72.2	172.27.72.49
region-8	branch157	-4.2928033	-121.2047	-8	98	10	39	49	172.27.74.2	172.27.76.11	172.27.76.2	172.27.76.11	172.27.74.2	172.27.74.40	172.27.75.2	172.27.75.50
region-8	branch158	-14.591616	-119.97817	-7	102	10	41	51	172.27.77.2	172.27.79.11	172.27.79.2	172.27.79.11	172.27.77.2	172.27.77.42	172.27.78.2	172.27.78.52
region-8	branch159	-6.9486766	-120.183975	-8	100	9	41	50	172.27.80.2	172.27.82.10	172.27.82.2	172.27.82.10	172.27.80.2	172.27.80.42	172.27.81.2	172.27.81.51
region-8	branch160	-13.214757	-120.17161	-8	97	9	40	48	172.27.83.2	172.27.85.10	172.27.85.2	172.27.85.10	172.27.83.2	172.27.83.41	172.27.84.2	172.27.84.49
region-8	branch161	-3.9987996	-127.73008	-8	95	9	38	48	172.27.86.2	172.27.88.10	172.27.88.2	172.27.88.10	172.27.86.2	172.27.86.39	172.27.87.2	172.27.87.49
region-8	branch162	-2.357521	-117.23198	-7	99	10	41	48	172.27.89.2	172.27.91.11	172.27.91.2	172.27.91.11	172.27.89.2	172.27.89.42	172.27.90.2	172.27.90.49
region-8	branch163	-13.863055	-116.86447	-7	97	10	39	48	172.27.92.2	172.27.94.11	172.27.94.2	172.27.94.11	172.27.92.2	172.27.92.40	172.27.93.2	172.27.93.49
region-8	branch164	-11.783402	-121.64776	-8	98	10	38	50	172.27.95.2	172.27.97.11	172.27.97.2	172.27.97.11	172.27.95.2	172.27.95.39	172.27.96.2	172.27.96.51
region-8	branch165	-3.5822837	-125.39433	-8	98	10	40	48	172.27.98.2	172.27.100.11	172.27.100.2	172.27.100.11	172.27.98.2	172.27.98.41	172.27.99.2	172.27.99.49
region-8	branch166	-1.8783934	-120.92436	-8	97	10	39	48	172.27.101.2	172.27.103.11	172.27.103.2	172.27.103.11	172.27.101.2	172.27.101.40	172.27.102.2	172.27.102.49
region-8	branch167	-11.660088	-116.508965	-7	98	9	38	51	172.27.104.2	172.27.106.10	172.27.106.2	172.27.106.10	172.27.104.2	172.27.104.39	172.27.105.2	172.27.105.52
region-8	branch168	-5.0069504	-117.011375	-7	97	9	39	49	172.27.107.2	172.27.109.10	172.27.109.2	172.27.109.10	172.27.107.2	172.27.107.40	172.27.108.2	172.27.108.50
region-8	branch169	-4.198356	-120.447014	-8	98	10	39	49	172.27.110.2	172.27.112.11	172.27.112.2	172.27.112.11	172.27.110.2	172.27.110.40	172.27.111.2	172.27.111.50
region-8	branch170	-13.6319475	-118.15846	-7	96	10	38	48	172.27.113.2	172.27.115.11	172.27.115.2	172.27.115.11	172.27.113.2	172.27.113.39	172.27.114.2	172.27.114.49
region-8	branch171	-9.403224	-123.53727	-8	96	9	39	48	172.27.116.2	172.27.118.10	172.27.118.2	172.27.118.10	172.27.116.2	172.27.116.40	172.27.117.2	172.27.117.49
region-8	branch172	-9.94126	-117.81739	-7	96	9	39	48	172.27.119.2	172.27.121.10	172.27.121.2	172.27.121.10	172.27.119.2	172.27.119.40	172.27.120.2	172.27.120.49
region-8	branch173	-14.524526	-120.07614	-8	99	9	41	49	172.27.122.2	172.27.124.10	172.27.124.2	172.27.124.10	172.27.122.2	172.27.122.42	172.27.123.2	172.27.123.50
region-8	branch174	-1.3005471	-127.93006	-8	96	10	38	48	172.27.125.2	172.27.127.11	172.27.127.2	172.27.127.11	172.27.125.2	172.27.125.39	172.27.126.2	172.27.126.49
region-8	branch175	-9.880293	-123.78996	-8	98	9	38	51	172.27.128.2	172.27.130.10	172.27.130.2	172.27.130.10	172.27.128.2	172.27.128.39	172.27.129.2	172.27.129.52
region-8	branch176	-14.002565	-126.79016	-8	98	9	38	51	172.27.131.2	172.27.133.10	172.27.133.2	172.27.133.10	172.27.131.2	172.27.131.39	172.27.132.2	172.27.132.52
region-8	branch177	-5.6361384	-125.04035	-8	99	9	39	51	172.27.134.2	172.27.136.10	172.27.136.2	172.27.136.10	172.27.134.2	172.27.134.40	172.27.135.2	172.27.135.52
region-8	branch178	0.6974047	-124.638756	-8	99	9	40	50	172.27.137.2	172.27.139.10	172.27.139.2	172.27.139.10	172.27.137.2	172.27.137.41	172.27.138.2	172.27.138.51
region-8	branch179	-11.174977	-125.46631	-8	98	9	38	51	172.27.140.2	172.27.142.10	172.27.142.2	172.27.142.10	172.27.140.2	172.27.140.39	172.27.141.2	172.27.141.52
region-8	branch180	-0.84082174	-123.251724	-8	96	9	38	49	172.27.143.2	172.27.145.10	172.27.145.2	172.27.145.10	172.27.143.2	172.27.143.39	172.27.144.2	172.27.144.50
region-8	branch181	-5.1210856	-123.41648	-8	99	10	39	50	172.27.146.2	172.27.148.11	172.27.148.2	172.27.148.11	172.27.146.2	172.27.146.40	172.27.147.2	172.27.147.51
region-8	branch182	-7.877628	-120.999664	-8	99	10	41	48	172.27.149.2	172.27.151.11	172.27.151.2	172.27.151.11	172.27.149.2	172.27.149.42	172.27.150.2	172.27.150.49
region-8	branch183	-11.749625	-125.3105	-8	100	10	39	51	172.27.152.2	172.27.154.11	172.27.154.2	172.27.154.11	172.27.152.2	172.27.152.40	172.27.153.2	172.27.153.52
region-8	branch184	-6.9713106	-124.208466	-8	100	9	40	51	172.27.155.2	172.27.157.10	172.27.157.2	172.27.157.10	172.27.155.2	172.27.155.41	172.27.156.2	172.27.156.52
region-8	branch185	-5.8949227	-127.97835	-8	98	10	40	48	172.27.158.2	172.27.160.11	172.27.160.2	172.27.160.11	172.27.158.2	172.27.158.41	172.27.159.2	172.27.159.49
region-8	branch186	-12.575477	-125.12148	-8	96	10	38	48	172.27.161.2	172.27.163.11	172.27.163.2	172.27.163.11	172.27.161.2	172.27.161.39	172.27.162.2	172.27.162.49
region-8	branch187	-6.2905807	-119.06178	-7	100	10	39	51	172.27.164.2	172.27.166.11	172.27.166.2	172.27.166.11	172.27.164.2	172.27.164.40	172.27.165.2	172.27.165.52
region-8	branch188	-6.610191	-124.36186	-8	97	10	39	48	172.27.167.2	172.27.169.11	172.27.169.2	172.27.169.11	172.27.167.2	172.27.167.40	172.27.168.2	172.27.168.49
region-8	branch189	-4.679452	-116.722176	-7	97	9	40	48	172.27.170.2	172.27.172.10	172.27.172.2	172.27.172.10	172.27.170.2	172.27.170.41	172.27.171.2	172.27.171.49
region-8	branch190	-10.765263	-127.5163	-8	97	9	39	49	172.27.173.2	172.27.175.10	172.27.175.2	172.27.175.10	172.27.173.2	172.27.173.40	172.27.174.2	172.27.174.50
region-8	branch191	-3.588647	-116.18412	-7	98	10	40	48	172.27.176.2	172.27.178.11	172.27.178.2	172.27.178.11	172.27.176.2	172.27.176.41	172.27.177.2	172.27.177.49
region-8	branch192	-10.881108	-123.308914	-8	96	9	38	49	172.27.179.2	172.27.181.10	172.27.181.2	172.27.181.10	172.27.179.2	172.27.179.39	172.27.180.2	172.27.180.50
region-8	branch193	-14.157556	-117.05441	-7	99	10	38	51	172.27.182.2	172.27.184.11	172.27.184.2	172.27.184.11	172.27.182.2	172.27.182.39	172.27.183.2	172.27.183.52
region-8	branch194	-7.4973288	-126.80706	-8	98	9	41	48	172.27.185.2	172.27.187.10	172.27.187.2	172.27.187.10	172.27.185.2	172.27.185.42	172.27.186.2	172.27.186.49
region-8	branch195	-13.362369	-127.89108	-8	99	10	41	48	172.27.188.2	172.27.190.11	172.27.190.2	172.27.190.11	172.27.188.2	172.27.188.42	172.27.189.2	172.27.189.49
region-8	branch196	-12.296598	-121.19794	-8	99	10	39	50	172.27.191.2	172.27.193.11	172.27.193.2	172.27.193.11	172.27.191.2	172.27.191.40	172.27.192.2	172.27.192.51
region-8	branch197	-2.3616562	-119.15751	-7	100	9	40	51	172.27.194.2	172.27.196.10	172.27.196.2	172.27.196.10	172.27.194.2	172.27.194.41	172.27.195.2	172.27.195.52
region-8	branch198	0.91639024	-127.8981	-8	101	10	40	51	172.27.197.2	172.27.199.11	172.27.199.2	172.27.199.11	172.27.197.2	172.27.197.41	172.27.198.2	172.27.198.52
region-8	branch199	-9.633163	-118.48144	-7	96	9	39	48	172.27.200.2	172.27.202.10	172.27.202.2	172.27.202.10	172.27.200.2	172.27.200.40	172.27.201.2	172.27.201.49
region-8	branch200	-7.9499955	-117.10524	-7	99	10	39	50	172.27.203.2	172.27.205.11	172.27.205.2	172.27.205.11	172.27.203.2	172.27.203.40	172.27.204.2	172.27.204.51
region-9	branch1	29.691956	-106.49682	-7	100	9	41	50	172.27.206.2	172.27.208.10	172.27.208.2	172.27.208.10	172.27.206.2	172.27.206.42	172.27.207.2	172.27.207.51
region-9	branch2	35.419544	-110.64088	-7	96	9	38	49	172.27.209.2	172.27.211.10	172.27.211.2	172.27.211.10	172.27.209.2	172.27.209.39	172.27.210.2	172.27.210.50
region-9	branch3	29.614252	-112.34451	-7	100	10	39	51	172.27.212.2	172.27.214.11	172.27.214.2	172.27.214.11	172.27.212.2	172.27.212.40	172.27.213.2	172.27.213.52
